ts,step,epsilon,loss,mean_q
11:16:55,472,0.4196,0.0185,5.1910
11:16:56,473,0.4189,0.0181,5.1787
11:16:57,474,0.4181,0.0094,5.1619
11:16:58,475,0.4174,0.0213,5.1605
11:17:00,476,0.4167,0.0225,5.1634
11:17:01,477,0.4159,0.0193,5.1486
11:17:02,478,0.4152,0.0182,5.1384
11:17:03,479,0.4145,0.0154,5.1692
11:17:04,480,0.4137,0.0132,5.1669
11:17:05,481,0.4130,0.0286,5.1822
11:17:06,482,0.4123,0.0288,5.1978
11:17:07,483,0.4116,0.0236,5.1623
11:17:08,484,0.4108,0.0207,5.1606
11:17:09,485,0.4101,0.0246,5.1323
11:17:10,486,0.4094,0.0224,5.1519
11:17:11,487,0.4087,0.0224,5.0860
11:17:12,488,0.4080,0.0224,5.0942
11:17:13,489,0.4073,0.0237,5.0510
11:17:14,490,0.4065,0.0235,5.0474
11:17:15,491,0.4058,0.0152,5.0494
11:17:16,492,0.4051,0.0164,5.0422
11:17:18,493,0.4044,0.0266,4.9899
11:17:19,494,0.4037,0.0279,4.9877
11:17:20,495,0.4030,0.0340,5.0367
11:17:21,496,0.4023,0.0267,5.0387
11:17:22,497,0.4016,0.0276,5.0902
11:17:23,498,0.4009,0.0241,5.1099
11:17:24,499,0.4002,0.0304,5.1171
11:17:25,500,0.3995,0.0190,5.1522
11:17:26,501,0.3988,0.3367,5.1931
11:17:27,502,0.3981,0.3478,5.2362
11:17:28,503,0.3974,0.2868,5.2384
11:17:29,504,0.3967,0.2080,5.3387
11:17:30,505,0.3960,0.2001,5.3954
11:17:31,506,0.3953,0.1708,5.4567
11:17:32,507,0.3946,0.1330,5.5711
11:17:33,508,0.3939,0.1050,5.6199
11:17:34,509,0.3933,0.0600,5.7570
11:17:35,510,0.3926,0.0315,5.8071
11:17:36,511,0.3919,0.0294,5.9271
11:17:37,512,0.3912,0.0320,6.0533
11:17:38,513,0.3905,0.0291,6.0197
11:17:39,514,0.3898,0.0286,6.0928
11:17:40,515,0.3892,0.0349,6.1797
11:17:42,516,0.3885,0.0382,6.2429
11:17:43,517,0.3878,0.0387,6.2135
11:17:44,518,0.3871,0.0418,6.2567
11:17:45,519,0.3865,0.0410,6.2301
11:17:46,520,0.3858,0.0470,6.2223
11:17:47,521,0.3851,0.1480,6.2207
11:17:48,522,0.3844,0.1535,6.1734
11:17:49,523,0.3838,0.1462,6.1334
11:17:50,524,0.3831,0.1188,6.0918
11:17:51,525,0.3824,0.0871,6.0173
11:17:52,526,0.3818,0.0745,5.9918
11:17:53,527,0.3811,0.0541,5.9114
11:17:54,528,0.3805,0.0475,5.8559
11:17:55,529,0.3798,0.0363,5.7851
11:17:56,530,0.3791,0.0275,5.7246
11:17:57,531,0.3785,0.0220,5.6755
11:17:58,532,0.3778,0.0200,5.6180
11:17:59,533,0.3772,0.0966,5.5444
11:18:00,534,0.3765,0.1394,5.5298
11:18:01,535,0.3759,0.1427,5.5224
11:18:03,536,0.3752,0.1357,5.5443
