timestamp,rnti,e2_node,f1ap,slice_sd,slice_name,cqi,ri,dl_mcs,ul_mcs,pusch_snr_db,pusch_rsrp_db,phr,dl_brate_bps,ul_brate_bps,dl_nof_ok,dl_nof_nok,dl_latency_us,ul_latency_us,prb_min,prb_max,alloc_req_bps,sla_dl_target_bps
1781623944.173,61443,gnbd_001_001_00000213_1,1,2,PERFORMANCE,11,1,28,4,3.2,0,0,90528.0,683432.0,68,0,0,0,2,17,300000,300000
1781623944.173,61445,gnbd_001_001_00000213_1,2,3,BUSINESS,15,1,28,5,3.9,0,0,89304.0,680000.0,67,0,0,0,0,15,0,20000000
1781623944.173,61442,gnbd_001_001_00000213_2,0,1,CRITICAL,15,1,28,1,2.1,-0.0,0,70048.0,833968.0,52,0,0,0,2,17,300000,300000
1781623944.173,61444,gnbd_001_001_00000213_2,1,2,PERFORMANCE,15,1,28,4,1.2,-0.1,0,38568.0,485096.0,29,0,0,0,2,17,300000,300000
1781623944.173,61446,gnbd_001_001_00000213_2,2,3,BUSINESS,15,1,28,2,1.4,-0.2,0,32192.0,531256.0,24,0,0,0,0,15,0,20000000
1781623945.172,61441,gnbd_001_001_00000213_1,0,1,CRITICAL,15,1,0,4,2.4,0,0,0.0,701984.0,0,0,0,0,2,17,300000,300000
1781623945.172,61443,gnbd_001_001_00000213_1,1,2,PERFORMANCE,15,1,28,5,3.2,0,0,93616.0,821288.0,70,0,0,0,2,17,300000,300000
1781623945.172,61445,gnbd_001_001_00000213_1,2,3,BUSINESS,15,1,28,6,3.9,0,0,91168.0,828656.0,68,0,0,0,0,15,0,20000000
1781623945.172,61442,gnbd_001_001_00000213_2,0,1,CRITICAL,15,1,28,1,2.1,-0.0,0,70048.0,833968.0,52,0,0,0,2,17,300000,300000
1781623945.172,61444,gnbd_001_001_00000213_2,1,2,PERFORMANCE,15,1,28,4,1.2,-0.1,0,38568.0,485096.0,29,0,0,0,2,17,300000,300000
1781623945.172,61446,gnbd_001_001_00000213_2,2,3,BUSINESS,15,1,28,2,1.4,-0.2,0,32192.0,531256.0,24,0,0,0,0,15,0,20000000
1781623946.176,61441,gnbd_001_001_00000213_1,0,1,CRITICAL,15,1,0,5,2.5,0,0,0.0,856800.0,0,0,0,0,2,17,300000,300000
1781623946.176,61443,gnbd_001_001_00000213_1,1,2,PERFORMANCE,15,1,28,6,3.2,0,0,92848.0,991120.0,70,0,0,0,2,17,300000,300000
1781623946.176,61445,gnbd_001_001_00000213_1,2,3,BUSINESS,15,1,28,7,3.9,0,0,92136.0,994632.0,69,0,0,0,0,15,0,20000000
1781623946.176,61442,gnbd_001_001_00000213_2,0,1,CRITICAL,15,1,28,1,2.1,-0.0,0,70048.0,833968.0,52,0,0,0,2,17,300000,300000
1781623946.176,61444,gnbd_001_001_00000213_2,1,2,PERFORMANCE,15,1,28,4,1.2,-0.1,0,38568.0,485096.0,29,0,0,0,2,17,300000,300000
1781623946.176,61446,gnbd_001_001_00000213_2,2,3,BUSINESS,15,1,28,2,1.4,-0.2,0,32192.0,531256.0,24,0,0,0,0,15,0,20000000
1781623947.177,61441,gnbd_001_001_00000213_1,0,1,CRITICAL,15,1,0,7,2.7,0,0,0.0,1071000.0,0,0,0,0,2,17,300000,300000
1781623947.177,61443,gnbd_001_001_00000213_1,1,2,PERFORMANCE,15,1,28,7,3.1,0,0,94584.0,1137072.0,71,0,0,0,2,17,300000,300000
1781623947.177,61445,gnbd_001_001_00000213_1,2,3,BUSINESS,15,1,28,8,3.7,0,0,94840.0,1096424.0,71,0,0,0,0,15,0,20000000
